,0,1,2,3,4,5,6
0,40.99,31.648,9.342,0.272,1.0,1.0,26.52
1,40.99,31.648,9.342,0.282,1.0,1.0,26.54
2,40.99,31.714,9.276,0.287,1.0,1.0,26.56
3,40.99,31.78,9.21,0.295,1.0,1.0,26.58
4,40.99,32.11,8.88,0.282,1.0,1.0,26.6
5,40.99,31.978,9.012,0.324,1.0,1.0,26.62
6,40.99,31.846,9.144,0.336,1.0,1.0,26.64
7,40.99,31.846,9.144,0.338,1.0,1.0,26.66
8,40.99,32.11,8.88,0.326,1.0,1.0,26.68
9,40.99,32.308,8.682,0.336,1.0,1.0,26.7
10,40.99,32.505,8.485,0.342,1.0,1.0,26.72
11,40.99,33.099,7.891,0.318,1.0,1.0,26.74
12,40.99,33.429,7.561,0.335,1.0,1.0,26.76
13,40.99,33.429,7.561,0.36,1.0,1.0,26.78
14,40.99,33.626,7.364,0.354,1.0,1.0,26.8
15,40.99,33.758,7.232,0.363,1.0,1.0,26.82
16,40.99,33.956,7.034,0.364,1.0,1.0,26.84
17,40.99,34.22,6.77,0.363,1.0,1.0,26.86
18,40.99,34.352,6.638,0.374,1.0,1.0,26.88
19,40.99,34.615,6.375,0.37,1.0,1.0,26.9
20,40.99,34.747,6.243,0.381,1.0,1.0,26.92
21,40.99,35.473,5.517,0.35,1.0,1.0,26.94
22,40.99,35.868,5.122,0.362,1.0,1.0,26.96
23,40.99,36.593,4.397,0.344,1.0,1.0,26.98
24,40.99,36.989,4.001,0.351,1.0,1.0,27.0
25,40.99,37.582,3.408,0.34,1.0,1.0,27.02
26,40.99,37.78,3.21,0.35,1.0,1.0,27.04
27,40.99,37.978,3.012,0.349,1.0,1.0,27.06
28,40.99,38.176,2.814,0.349,1.0,1.0,27.08
29,40.99,38.308,2.682,0.35,1.0,1.0,27.1
30,40.99,38.374,2.616,0.353,1.0,1.0,27.12
31,40.99,38.44,2.55,0.355,1.0,1.0,27.14
32,40.99,38.374,2.616,0.361,1.0,1.0,27.16
33,40.99,38.835,2.155,0.346,1.0,1.0,27.18
34,40.99,39.165,1.825,0.344,1.0,1.0,27.2
35,40.99,39.231,1.759,0.348,1.0,1.0,27.22
36,40.99,39.956,1.034,0.331,1.0,1.0,27.24
37,40.99,40.088,0.902,0.333,1.0,1.0,27.26
38,40.99,40.154,0.836,0.333,1.0,1.0,27.28
39,40.99,40.352,0.638,0.33,1.0,1.0,27.3
40,40.99,40.747,0.243,0.322,1.0,1.0,27.32
41,40.99,40.813,0.177,0.322,1.0,1.0,27.34
