,0,1,2,3,4,5,6
0,0.0,24.923,0.0,0.0,1.0,1.0,3.68
1,0.0,24.264,0.0,0.0,1.0,1.0,3.7
2,0.0,24.264,0.0,0.0,1.0,1.0,3.72
3,0.0,24.264,0.0,0.0,1.0,1.0,3.74
4,0.0,24.396,0.0,0.0,1.0,1.0,3.76
5,0.0,24.462,0.0,0.0,1.0,1.0,3.78
6,0.0,24.33,0.0,0.0,1.0,1.0,3.8
7,0.0,24.264,0.0,0.0,1.0,1.0,3.82
8,0.0,24.33,0.0,0.0,1.0,1.0,3.84
9,0.0,24.33,0.0,0.0,1.0,1.0,3.86
10,0.0,24.33,0.0,0.0,1.0,1.0,3.88
11,0.0,24.396,0.0,0.0,1.0,1.0,3.9
12,0.0,24.264,0.0,0.0,1.0,1.0,3.92
13,0.0,24.396,0.0,0.0,1.0,1.0,3.94
14,0.0,24.659,0.0,0.0,1.0,1.0,3.96
15,0.0,24.527,0.0,0.0,1.0,1.0,3.98
16,0.0,24.527,0.0,0.0,1.0,1.0,4.0
17,0.0,24.396,0.0,0.0,1.0,1.0,4.02
18,0.0,24.725,0.0,0.0,1.0,1.0,4.04
19,0.0,24.593,0.0,0.0,1.0,1.0,4.06
20,0.0,24.593,0.0,0.0,1.0,1.0,4.08
21,0.0,24.396,0.0,0.0,1.0,1.0,4.1
22,0.0,24.462,0.0,0.0,1.0,1.0,4.12
23,0.0,24.593,0.0,0.0,1.0,1.0,4.14
24,0.0,24.462,0.0,0.0,1.0,1.0,4.16
25,0.0,24.462,0.0,0.0,1.0,1.0,4.18
26,0.0,24.462,0.0,0.0,1.0,1.0,4.2
27,0.0,24.462,0.0,0.0,1.0,1.0,4.22
28,0.0,24.264,0.0,0.0,1.0,1.0,4.24
29,0.0,24.659,0.0,0.0,1.0,1.0,4.26
30,0.0,24.989,0.0,0.0,1.0,1.0,4.28
31,0.0,24.791,0.0,0.0,1.0,1.0,4.3
32,0.0,24.462,0.0,0.0,1.0,1.0,4.32
33,0.0,24.527,0.0,0.0,1.0,1.0,4.34
34,0.0,24.396,0.0,0.0,1.0,1.0,4.36
35,0.0,23.604,0.0,0.0,1.0,1.0,4.38
36,0.0,24.462,0.0,0.0,1.0,1.0,4.4
37,0.0,24.396,0.0,0.0,1.0,1.0,4.42
38,0.0,24.923,0.0,0.0,1.0,1.0,4.44
39,0.0,24.857,0.0,0.0,1.0,1.0,4.46
40,0.0,24.462,0.0,0.0,1.0,1.0,4.48
41,0.0,24.593,0.0,0.0,1.0,1.0,4.5
42,0.0,24.396,0.0,0.0,1.0,1.0,4.52
43,0.0,24.396,0.0,0.0,1.0,1.0,4.54
44,0.0,24.659,0.0,0.0,1.0,1.0,4.56
45,0.0,24.923,0.0,0.0,1.0,1.0,4.58
46,0.0,24.462,0.0,0.0,1.0,1.0,4.6
47,0.0,24.593,0.0,0.0,1.0,1.0,4.62
48,0.0,24.33,0.0,0.0,1.0,1.0,4.64
49,0.0,24.462,0.0,0.0,1.0,1.0,4.66
50,0.0,24.462,0.0,0.0,1.0,1.0,4.68
51,0.0,24.527,0.0,0.0,1.0,1.0,4.7
52,0.0,24.725,0.0,0.0,1.0,1.0,4.72
53,0.0,24.527,0.0,0.0,1.0,1.0,4.74
54,0.0,24.396,0.0,0.0,1.0,1.0,4.76
55,0.0,24.527,0.0,0.0,1.0,1.0,4.78
56,0.0,24.527,0.0,0.0,1.0,1.0,4.8
57,0.0,24.725,0.0,0.0,1.0,1.0,4.82
58,0.0,23.473,0.0,0.0,1.0,1.0,4.84
59,0.0,24.33,0.0,0.0,1.0,1.0,4.86
60,0.0,24.462,0.0,0.0,1.0,1.0,4.88
61,0.0,24.33,0.0,0.0,1.0,1.0,4.9
