,0,1,2,3,4,5
0,91.062,-1.0,7.0,1.812,1.0,30.0
1,90.298,-1.0,7.0,1.812,1.0,30.0
2,90.004,-1.0,7.0,1.812,1.0,30.0
3,90.183,-1.0,7.0,1.812,1.0,30.0
4,90.833,-1.0,7.0,1.812,1.0,30.0
5,91.944,-1.0,7.0,1.812,1.0,30.0
6,93.499,-1.0,7.0,1.812,1.0,30.0
7,95.472,-1.0,7.0,1.812,1.0,30.0
8,97.833,-1.0,7.0,1.812,1.0,30.0
9,100.545,-1.0,7.0,1.812,1.0,30.0
10,103.563,-1.0,7.0,1.812,1.0,30.0
11,106.842,-1.0,7.0,1.812,1.0,30.0
12,110.328,-1.0,7.0,1.812,1.0,30.0
13,113.967,-1.0,7.0,1.812,1.0,30.0
14,117.701,-1.0,7.0,1.812,1.0,30.0
15,121.472,-1.0,7.0,1.812,1.0,30.0
16,125.22,-1.0,7.0,1.812,1.0,30.0
17,128.885,-1.0,7.0,1.812,1.0,30.0
18,132.409,-1.0,7.0,1.812,1.0,30.0
19,135.738,-1.0,7.0,1.812,1.0,30.0
20,138.818,-1.0,7.0,1.812,1.0,30.0
21,141.6,-1.0,7.0,1.812,1.0,30.0
22,144.041,-1.0,7.0,1.812,1.0,30.0
23,146.103,-1.0,7.0,1.812,1.0,30.0
24,147.751,-1.0,7.0,1.812,1.0,30.0
25,148.962,-1.0,7.0,1.812,1.0,30.0
26,149.715,-1.0,7.0,1.812,1.0,30.0
27,149.998,-1.0,7.0,1.812,1.0,30.0
28,149.807,-1.0,7.0,1.812,1.0,30.0
29,149.145,-1.0,7.0,1.812,1.0,30.0
30,148.023,-1.0,7.0,1.812,1.0,30.0
31,146.458,-1.0,7.0,1.812,1.0,30.0
32,144.474,-1.0,7.0,1.812,1.0,30.0
33,142.104,-1.0,7.0,1.812,1.0,30.0
34,139.385,-1.0,7.0,1.812,1.0,30.0
35,136.36,-1.0,7.0,1.812,1.0,30.0
36,133.076,0.0,7.0,1.812,1.0,30.0
37,129.585,-1.0,7.0,1.812,1.0,30.0
38,125.943,-1.0,7.0,1.812,1.0,30.0
39,122.207,-1.0,7.0,1.812,1.0,30.0
40,118.436,-1.0,7.0,1.812,1.0,30.0
41,114.69,-1.0,7.0,1.812,1.0,30.0
42,111.028,-1.0,7.0,1.812,1.0,30.0
43,107.507,-1.0,7.0,1.812,1.0,30.0
44,104.184,-1.0,7.0,1.812,1.0,30.0
45,101.111,-1.0,7.0,1.812,1.0,30.0
46,98.336,-1.0,7.0,1.812,1.0,30.0
47,95.904,-1.0,7.0,1.812,1.0,30.0
48,93.852,-1.0,7.0,1.812,1.0,30.0
49,92.214,-1.0,7.0,1.812,1.0,30.0
50,91.014,-1.0,7.0,1.812,1.0,30.0
51,90.273,-1.0,7.0,1.812,1.0,30.0
52,90.001,-1.0,7.0,1.812,1.0,30.0
53,90.204,-1.0,7.0,1.812,1.0,30.0
54,90.877,-1.0,7.0,1.812,1.0,30.0
55,92.01,-1.0,7.0,1.812,1.0,30.0
56,93.586,-1.0,7.0,1.812,1.0,30.0
57,95.579,-1.0,7.0,1.812,1.0,30.0
58,97.958,-1.0,7.0,1.812,1.0,30.0
59,100.685,-1.0,7.0,1.812,1.0,30.0
60,103.717,-1.0,7.0,1.812,1.0,30.0
61,107.007,-1.0,7.0,1.812,1.0,30.0
62,110.502,-1.0,7.0,1.812,1.0,30.0
63,114.147,-1.0,7.0,1.812,1.0,30.0
64,117.885,-1.0,7.0,1.812,1.0,30.0
65,121.656,-1.0,7.0,1.812,1.0,30.0
66,125.401,-2.0,7.0,1.812,1.0,30.0
67,129.06,-1.0,7.0,1.812,1.0,30.0
68,132.577,-1.0,7.0,1.812,1.0,30.0
69,135.894,-1.0,7.0,1.812,1.0,30.0
70,138.961,-1.0,7.0,1.812,1.0,30.0
71,141.727,-1.0,7.0,1.812,1.0,30.0
72,144.151,-1.0,7.0,1.812,1.0,30.0
73,146.193,-1.0,7.0,1.812,1.0,30.0
74,147.821,-1.0,7.0,1.812,1.0,30.0
75,149.009,-1.0,7.0,1.812,1.0,30.0
76,149.739,-1.0,7.0,1.812,1.0,30.0
77,149.999,-1.0,7.0,1.812,1.0,30.0
78,149.786,-1.0,7.0,1.812,1.0,30.0
79,149.101,-1.0,7.0,1.812,1.0,30.0
80,147.957,-1.0,7.0,1.812,1.0,30.0
81,146.37,-1.0,7.0,1.812,1.0,30.0
82,144.368,-1.0,7.0,1.812,1.0,30.0
83,141.98,-2.0,7.0,1.812,1.0,30.0
84,139.244,-1.0,7.0,1.812,1.0,30.0
85,136.205,-1.0,7.0,1.812,1.0,30.0
86,132.91,-1.0,7.0,1.812,1.0,30.0
87,129.41,-1.0,7.0,1.812,1.0,30.0
88,125.762,-2.0,7.0,1.812,1.0,30.0
89,122.023,-1.0,7.0,1.812,1.0,30.0
90,118.252,-1.0,7.0,1.812,1.0,30.0
91,114.509,-1.0,7.0,1.812,1.0,30.0
92,110.852,-1.0,7.0,1.812,1.0,30.0
93,107.34,-1.0,7.0,1.812,1.0,30.0
94,104.028,-1.0,7.0,1.812,1.0,30.0
95,100.968,0.0,7.0,1.812,1.0,30.0
96,98.209,-1.0,7.0,1.812,1.0,30.0
97,95.795,-1.0,7.0,1.812,1.0,30.0
98,93.762,-1.0,7.0,1.812,1.0,30.0
99,92.145,-1.0,7.0,1.812,1.0,30.0
100,90.967,-1.0,7.0,1.812,1.0,30.0
101,90.249,0.0,7.0,1.812,1.0,30.0
102,90.0,-1.0,7.0,1.812,1.0,30.0
103,90.226,-1.0,7.0,1.812,1.0,30.0
104,90.922,-1.0,7.0,1.812,1.0,30.0
105,92.077,-1.0,7.0,1.812,1.0,30.0
106,93.674,-1.0,7.0,1.812,1.0,30.0
107,95.686,-1.0,7.0,1.812,1.0,30.0
108,98.083,-1.0,7.0,1.812,1.0,30.0
109,100.826,-1.0,7.0,1.812,1.0,30.0
110,103.872,-1.0,7.0,1.812,1.0,30.0
111,107.173,-1.0,7.0,1.812,1.0,30.0
112,110.677,-1.0,7.0,1.812,1.0,30.0
113,114.328,-1.0,7.0,1.812,1.0,30.0
114,118.069,-1.0,7.0,1.812,1.0,30.0
115,121.84,-1.0,7.0,1.812,1.0,30.0
116,125.582,-1.0,7.0,1.812,1.0,30.0
117,129.235,-1.0,7.0,1.812,1.0,30.0
118,132.743,-1.0,7.0,1.812,1.0,30.0
119,136.05,-1.0,7.0,1.812,1.0,30.0
120,139.103,-1.0,7.0,1.812,1.0,30.0
121,141.854,-1.0,7.0,1.812,1.0,30.0
122,144.26,-1.0,7.0,1.812,1.0,30.0
123,146.282,-1.0,7.0,1.812,1.0,30.0
124,147.889,-1.0,7.0,1.812,1.0,30.0
125,149.056,-1.0,7.0,1.812,1.0,30.0
126,149.763,-1.0,7.0,1.812,1.0,30.0
127,150.0,0.0,7.0,1.812,1.0,30.0
128,149.763,-1.0,7.0,1.812,1.0,30.0
129,149.056,-1.0,7.0,1.812,1.0,30.0
130,147.889,-1.0,7.0,1.812,1.0,30.0
131,146.282,-1.0,7.0,1.812,1.0,30.0
132,144.26,-1.0,7.0,1.812,1.0,30.0
133,141.854,-2.0,7.0,1.812,1.0,30.0
134,139.103,-1.0,7.0,1.812,1.0,30.0
135,136.05,-1.0,7.0,1.812,1.0,30.0
136,132.743,-1.0,7.0,1.812,1.0,30.0
137,129.235,0.0,7.0,1.812,1.0,30.0
138,125.582,-1.0,7.0,1.812,1.0,30.0
139,121.84,-1.0,7.0,1.812,1.0,30.0
140,118.069,-1.0,7.0,1.812,1.0,30.0
141,114.328,-1.0,7.0,1.812,1.0,30.0
142,110.677,-1.0,7.0,1.812,1.0,30.0
143,107.173,-1.0,7.0,1.812,1.0,30.0
144,103.872,-1.0,7.0,1.812,1.0,30.0
145,100.826,0.0,7.0,1.812,1.0,30.0
146,98.083,-1.0,7.0,1.812,1.0,30.0
147,95.686,-1.0,7.0,1.812,1.0,30.0
148,93.674,-1.0,7.0,1.812,1.0,30.0
149,92.077,-1.0,7.0,1.812,1.0,30.0
150,90.922,-1.0,7.0,1.812,1.0,30.0
151,90.226,-1.0,7.0,1.812,1.0,30.0
152,90.0,-1.0,7.0,1.812,1.0,30.0
153,90.249,-1.0,7.0,1.812,1.0,30.0
154,90.967,-1.0,7.0,1.812,1.0,30.0
155,92.145,-1.0,7.0,1.812,1.0,30.0
156,93.762,-1.0,7.0,1.812,1.0,30.0
157,95.795,-1.0,7.0,1.812,1.0,30.0
