,0,1,2,3,4,5
0,119.134,59.0,7.0,1.812,0.5,30.0
1,119.526,59.0,7.0,1.812,0.5,30.0
2,119.802,59.0,7.0,1.812,0.5,30.0
3,119.959,59.0,7.0,1.812,0.5,30.0
4,119.998,59.0,7.0,1.812,0.5,30.0
5,119.919,59.0,7.0,1.812,0.5,30.0
6,119.721,59.0,7.0,1.812,0.5,30.0
7,119.405,59.0,7.0,1.812,0.5,30.0
8,118.974,59.0,7.0,1.812,0.5,30.0
9,118.428,59.0,7.0,1.812,0.5,30.0
10,117.769,59.0,7.0,1.812,0.5,30.0
11,117.0,59.0,7.0,1.812,0.5,30.0
12,116.125,58.0,7.0,1.812,0.5,30.0
13,115.147,58.0,7.0,1.812,0.5,30.0
14,114.069,58.0,7.0,1.812,0.5,30.0
15,112.896,58.0,7.0,1.812,0.5,30.0
16,111.632,58.0,7.0,1.812,0.5,30.0
17,110.283,57.0,7.0,1.812,0.5,30.0
18,108.853,58.0,7.0,1.812,0.5,30.0
19,107.349,57.0,7.0,1.812,0.5,30.0
20,105.777,57.0,7.0,1.812,0.5,30.0
21,104.142,57.0,7.0,1.812,0.5,30.0
22,102.451,57.0,7.0,1.812,0.5,30.0
23,100.711,59.0,7.0,1.812,0.5,30.0
24,98.928,57.0,7.0,1.812,0.5,30.0
25,97.111,56.0,7.0,1.812,0.5,30.0
26,95.265,57.0,7.0,1.812,0.5,30.0
27,93.398,57.0,7.0,1.812,0.5,30.0
28,91.518,57.0,7.0,1.812,0.5,30.0
29,89.632,57.0,7.0,1.812,0.5,30.0
30,87.747,57.0,7.0,1.812,0.5,30.0
31,85.871,57.0,7.0,1.812,0.5,30.0
32,84.012,57.0,7.0,1.812,0.5,30.0
33,82.176,57.0,7.0,1.812,0.5,30.0
34,80.371,57.0,7.0,1.812,0.5,30.0
35,78.605,57.0,7.0,1.812,0.5,30.0
36,76.883,57.0,7.0,1.812,0.5,30.0
37,75.213,57.0,7.0,1.812,0.5,30.0
38,73.602,57.0,7.0,1.812,0.5,30.0
39,72.055,57.0,7.0,1.812,0.5,30.0
40,70.58,57.0,7.0,1.812,0.5,30.0
41,69.181,57.0,7.0,1.812,0.5,30.0
42,67.864,57.0,7.0,1.812,0.5,30.0
43,66.636,58.0,7.0,1.812,0.5,30.0
44,65.499,58.0,7.0,1.812,0.5,30.0
45,64.459,58.0,7.0,1.812,0.5,30.0
46,63.521,57.0,7.0,1.812,0.5,30.0
47,62.687,57.0,7.0,1.812,0.5,30.0
48,61.961,57.0,7.0,1.812,0.5,30.0
49,61.346,57.0,7.0,1.812,0.5,30.0
50,60.844,57.0,7.0,1.812,0.5,30.0
51,60.458,57.0,7.0,1.812,0.5,30.0
52,60.188,57.0,7.0,1.812,0.5,30.0
53,60.036,57.0,7.0,1.812,0.5,30.0
54,60.003,55.0,7.0,1.812,0.5,30.0
55,60.088,58.0,7.0,1.812,0.5,30.0
56,60.292,56.0,7.0,1.812,0.5,30.0
57,60.613,56.0,7.0,1.812,0.5,30.0
58,61.05,56.0,7.0,1.812,0.5,30.0
59,61.602,56.0,7.0,1.812,0.5,30.0
60,62.266,56.0,7.0,1.812,0.5,30.0
61,63.04,56.0,7.0,1.812,0.5,30.0
62,63.92,57.0,7.0,1.812,0.5,30.0
63,64.904,56.0,7.0,1.812,0.5,30.0
64,65.986,56.0,7.0,1.812,0.5,30.0
65,67.164,56.0,7.0,1.812,0.5,30.0
66,68.432,56.0,7.0,1.812,0.5,30.0
67,69.785,57.0,7.0,1.812,0.5,30.0
68,71.218,57.0,7.0,1.812,0.5,30.0
69,72.726,57.0,7.0,1.812,0.5,30.0
70,74.302,56.0,7.0,1.812,0.5,30.0
71,75.939,56.0,7.0,1.812,0.5,30.0
72,77.633,56.0,7.0,1.812,0.5,30.0
73,79.375,56.0,7.0,1.812,0.5,30.0
74,81.159,56.0,7.0,1.812,0.5,30.0
75,82.979,56.0,7.0,1.812,0.5,30.0
76,84.826,56.0,7.0,1.812,0.5,30.0
77,86.693,56.0,7.0,1.812,0.5,30.0
78,88.574,56.0,7.0,1.812,0.5,30.0
79,90.46,57.0,7.0,1.812,0.5,30.0
80,92.345,56.0,7.0,1.812,0.5,30.0
81,94.22,55.0,7.0,1.812,0.5,30.0
82,96.078,56.0,7.0,1.812,0.5,30.0
83,97.913,56.0,7.0,1.812,0.5,30.0
84,99.716,56.0,7.0,1.812,0.5,30.0
85,101.48,56.0,7.0,1.812,0.5,30.0
86,103.2,56.0,7.0,1.812,0.5,30.0
