,0,1,2,3,4,5
0,63.162,65.0,7.0,1.812,0.5,30.0
1,64.058,65.0,7.0,1.812,0.5,30.0
2,65.056,65.0,7.0,1.812,0.5,30.0
3,66.153,68.0,7.0,1.812,0.5,30.0
4,67.344,66.0,7.0,1.812,0.5,30.0
5,68.625,66.0,7.0,1.812,0.5,30.0
6,69.99,66.0,7.0,1.812,0.5,30.0
7,71.434,68.0,7.0,1.812,0.5,30.0
8,72.952,68.0,7.0,1.812,0.5,30.0
9,74.537,68.0,7.0,1.812,0.5,30.0
10,76.184,70.0,7.0,1.812,0.5,30.0
11,77.885,68.0,7.0,1.812,0.5,30.0
12,79.634,68.0,7.0,1.812,0.5,30.0
13,81.424,70.0,7.0,1.812,0.5,30.0
14,83.247,68.0,7.0,1.812,0.5,30.0
15,85.098,68.0,7.0,1.812,0.5,30.0
16,86.968,68.0,7.0,1.812,0.5,30.0
17,88.85,68.0,7.0,1.812,0.5,30.0
18,90.736,67.0,7.0,1.812,0.5,30.0
19,92.62,68.0,7.0,1.812,0.5,30.0
20,94.493,69.0,7.0,1.812,0.5,30.0
21,96.348,67.0,7.0,1.812,0.5,30.0
22,98.179,66.0,7.0,1.812,0.5,30.0
23,99.977,66.0,7.0,1.812,0.5,30.0
24,101.735,66.0,7.0,1.812,0.5,30.0
25,103.447,66.0,7.0,1.812,0.5,30.0
26,105.106,66.0,7.0,1.812,0.5,30.0
27,106.705,66.0,7.0,1.812,0.5,30.0
28,108.238,66.0,7.0,1.812,0.5,30.0
29,109.7,66.0,7.0,1.812,0.5,30.0
30,111.083,65.0,7.0,1.812,0.5,30.0
31,112.382,67.0,7.0,1.812,0.5,30.0
32,113.594,65.0,7.0,1.812,0.5,30.0
33,114.712,64.0,7.0,1.812,0.5,30.0
34,115.732,65.0,7.0,1.812,0.5,30.0
35,116.65,64.0,7.0,1.812,0.5,30.0
36,117.463,64.0,7.0,1.812,0.5,30.0
37,118.168,63.0,7.0,1.812,0.5,30.0
38,118.761,63.0,7.0,1.812,0.5,30.0
39,119.241,63.0,7.0,1.812,0.5,30.0
40,119.604,62.0,7.0,1.812,0.5,30.0
41,119.851,62.0,7.0,1.812,0.5,30.0
42,119.98,61.0,7.0,1.812,0.5,30.0
