,0,1,2,3,4,5,6
0,30.0,56.308,-26.308,0.788,30.0,30.0,538.383
1,30.0,56.11,-26.11,0.848,30.0,30.0,538.403
2,30.0,55.516,-25.516,0.768,30.0,30.0,538.423
3,30.0,54.396,-24.396,0.68,30.0,30.0,538.443
4,30.0,54.198,-24.198,0.853,30.0,30.0,538.463
5,30.0,53.077,-23.077,0.695,30.0,30.0,538.483
6,30.0,52.813,-22.813,0.848,30.0,30.0,538.503
7,30.0,51.956,-21.956,0.751,30.0,30.0,538.523
8,30.0,50.571,-20.571,0.691,30.0,30.0,538.543
9,30.0,48.593,-18.593,0.655,30.0,30.0,538.563
10,30.0,47.67,-17.67,0.829,30.0,30.0,538.583
11,30.0,45.429,-15.429,0.72,30.0,30.0,538.603
12,30.0,44.044,-14.044,0.861,30.0,30.0,538.623
13,30.0,42.198,-12.198,0.868,30.0,30.0,538.643
14,30.0,40.418,-10.418,0.93,30.0,30.0,538.663
15,30.0,38.308,-8.308,0.976,30.0,30.0,538.683
16,30.0,37.516,-7.516,1.081,30.0,30.0,538.703
17,30.0,35.275,-5.275,1.076,30.0,30.0,538.723
18,30.0,33.758,-3.758,1.153,30.0,30.0,538.743
19,30.0,31.78,-1.78,1.209,30.0,30.0,538.763
20,30.0,30.198,-0.198,1.267,30.0,30.0,538.783
21,30.0,29.407,0.593,1.289,30.0,30.0,538.803
22,30.0,28.549,1.451,1.313,30.0,30.0,538.823
23,30.0,27.495,2.505,1.347,30.0,30.0,538.843
24,30.0,26.505,3.495,1.375,30.0,30.0,538.863
25,30.0,26.044,3.956,1.373,30.0,30.0,538.883
26,30.0,25.978,4.022,1.364,30.0,30.0,538.903
27,30.0,26.308,3.692,1.347,30.0,30.0,538.923
28,30.0,27.363,2.637,1.315,30.0,30.0,538.943
29,30.0,27.429,2.571,1.336,30.0,30.0,538.963
30,30.0,28.484,1.516,1.304,30.0,30.0,538.983
31,30.0,29.143,0.857,1.299,30.0,30.0,539.003
32,30.0,29.868,0.132,1.289,30.0,30.0,539.023
33,30.0,31.187,-1.187,1.275,30.0,30.0,539.044
34,30.0,32.505,-2.505,1.261,30.0,30.0,539.064
35,30.0,34.484,-4.484,1.264,30.0,30.0,539.084
36,30.0,35.011,-5.011,1.201,30.0,30.0,539.104
37,30.0,36.593,-6.593,1.229,30.0,30.0,539.124
38,30.0,37.648,-7.648,1.185,30.0,30.0,539.144
39,30.0,38.901,-8.901,1.18,30.0,30.0,539.164
40,30.0,40.088,-10.088,1.158,30.0,30.0,539.184
41,30.0,41.802,-11.802,1.184,30.0,30.0,539.204
42,30.0,42.198,-12.198,1.046,30.0,30.0,539.224
43,30.0,43.648,-13.648,1.13,30.0,30.0,539.244
44,30.0,44.637,-14.637,1.061,30.0,30.0,539.264
45,30.0,45.297,-15.297,1.005,30.0,30.0,539.284
46,30.0,46.286,-16.286,1.025,30.0,30.0,539.304
47,30.0,48.527,-18.527,1.174,30.0,30.0,539.324
48,30.0,46.484,-16.484,0.605,30.0,30.0,539.344
49,30.0,47.473,-17.473,0.984,30.0,30.0,539.364
50,30.0,47.604,-17.604,0.853,30.0,30.0,539.384
51,30.0,48.593,-18.593,0.953,30.0,30.0,539.404
52,30.0,47.209,-17.209,0.634,30.0,30.0,539.424
53,30.0,47.077,-17.077,0.801,30.0,30.0,539.444
54,30.0,46.286,-16.286,0.723,30.0,30.0,539.464
55,30.0,45.758,-15.758,0.763,30.0,30.0,539.484
56,30.0,45.297,-15.297,0.774,30.0,30.0,539.504
57,30.0,44.637,-14.637,0.759,30.0,30.0,539.524
58,30.0,43.846,-13.846,0.758,30.0,30.0,539.544
59,30.0,43.253,-13.253,0.788,30.0,30.0,539.564
60,30.0,41.802,-11.802,0.737,30.0,30.0,539.584
61,30.0,41.341,-11.341,0.835,30.0,30.0,539.604
62,30.0,39.495,-9.495,0.769,30.0,30.0,539.624
