,0,1,2,3,4,5
0,90.0,62.0,7.0,1.812,0.0,0.4
1,90.0,62.0,7.0,1.812,0.0,0.4
2,90.0,62.0,7.0,1.812,0.0,0.4
3,90.0,62.0,7.0,1.812,0.0,0.4
4,90.0,62.0,7.0,1.812,0.0,0.4
5,90.0,62.0,7.0,1.812,0.0,0.4
6,90.0,62.0,7.0,1.812,0.0,0.4
7,90.0,62.0,7.0,1.812,0.0,0.4
8,90.0,62.0,7.0,1.812,0.0,0.4
9,90.0,62.0,7.0,1.812,0.0,0.4
10,90.0,62.0,7.0,1.812,0.0,0.4
11,90.0,62.0,7.0,1.812,0.0,0.4
12,90.0,62.0,7.0,1.812,0.0,0.4
13,90.0,62.0,7.0,1.812,0.0,0.4
14,90.0,62.0,7.0,1.812,0.0,0.4
15,90.0,62.0,7.0,1.812,0.0,0.4
16,90.0,62.0,7.0,1.812,0.0,0.4
17,90.0,62.0,7.0,1.812,0.0,0.4
18,90.0,63.0,7.0,1.812,0.0,0.4
19,90.0,63.0,7.0,1.812,0.0,0.4
20,90.0,63.0,7.0,1.812,0.0,0.4
21,90.0,63.0,7.0,1.812,0.0,0.4
22,90.0,63.0,7.0,1.812,0.0,0.4
23,90.0,63.0,7.0,1.812,0.0,0.4
24,90.0,63.0,7.0,1.812,0.0,0.4
25,90.0,63.0,7.0,1.812,0.0,0.4
26,90.0,63.0,7.0,1.812,0.0,0.4
27,90.0,64.0,7.0,1.812,0.0,0.4
28,90.0,63.0,7.0,1.812,0.0,0.4
29,90.0,63.0,7.0,1.812,0.0,0.4
30,90.0,64.0,7.0,1.812,0.0,0.4
31,90.0,61.0,7.0,1.812,0.0,0.4
32,90.0,62.0,7.0,1.812,0.0,0.4
33,90.0,63.0,7.0,1.812,0.0,0.4
34,90.0,63.0,7.0,1.812,0.0,0.4
35,90.0,63.0,7.0,1.812,0.0,0.4
36,90.0,63.0,7.0,1.812,0.0,0.4
37,90.0,63.0,7.0,1.812,0.0,0.4
38,90.0,63.0,7.0,1.812,0.0,0.4
39,90.0,63.0,7.0,1.812,0.0,0.4
40,90.0,63.0,7.0,1.812,0.0,0.4
41,90.0,63.0,7.0,1.812,0.0,0.4
42,90.0,63.0,7.0,1.812,0.0,0.4
43,90.0,65.0,7.0,1.812,0.0,0.4
44,90.0,63.0,7.0,1.812,0.0,0.4
45,90.0,63.0,7.0,1.812,0.0,0.4
46,90.0,63.0,7.0,1.812,0.0,0.4
47,90.0,63.0,7.0,1.812,0.0,0.4
48,90.0,63.0,7.0,1.812,0.0,0.4
49,90.0,63.0,7.0,1.812,0.0,0.4
50,90.0,63.0,7.0,1.812,0.0,0.4
51,90.0,63.0,7.0,1.812,0.0,0.4
52,90.0,63.0,7.0,1.812,0.0,0.4
53,90.0,63.0,7.0,1.812,0.0,0.4
54,90.0,63.0,7.0,1.812,0.0,0.4
55,90.0,64.0,7.0,1.812,0.0,0.4
56,90.0,63.0,7.0,1.812,0.0,0.4
57,90.0,63.0,7.0,1.812,0.0,0.4
58,90.0,63.0,7.0,1.812,0.0,0.4
59,90.0,63.0,7.0,1.812,0.0,0.4
60,90.0,63.0,7.0,1.812,0.0,0.4
61,90.0,63.0,7.0,1.812,0.0,0.4
62,90.0,63.0,7.0,1.812,0.0,0.4
63,90.0,63.0,7.0,1.812,0.0,0.4
64,90.0,63.0,7.0,1.812,0.0,0.4
65,90.0,63.0,7.0,1.812,0.0,0.4
66,90.0,63.0,7.0,1.812,0.0,0.4
67,90.0,63.0,7.0,1.812,0.0,0.4
68,90.0,63.0,7.0,1.812,0.0,0.4
69,90.0,63.0,7.0,1.812,0.0,0.4
70,90.0,63.0,7.0,1.812,0.0,0.4
71,90.0,63.0,7.0,1.812,0.0,0.4
72,90.0,63.0,7.0,1.812,0.0,0.4
73,90.0,63.0,7.0,1.812,0.0,0.4
74,90.0,64.0,7.0,1.812,0.0,0.4
75,90.0,64.0,7.0,1.812,0.0,0.4
76,90.0,64.0,7.0,1.812,0.0,0.4
77,90.0,64.0,7.0,1.812,0.0,0.4
78,90.0,64.0,7.0,1.812,0.0,0.4
79,90.0,63.0,7.0,1.812,0.0,0.4
80,90.0,64.0,7.0,1.812,0.0,0.4
81,90.0,64.0,7.0,1.812,0.0,0.4
82,90.0,63.0,7.0,1.812,0.0,0.4
83,90.0,63.0,7.0,1.812,0.0,0.4
84,90.0,63.0,7.0,1.812,0.0,0.4
85,90.0,63.0,7.0,1.812,0.0,0.4
86,90.0,63.0,7.0,1.812,0.0,0.4
87,90.0,63.0,7.0,1.812,0.0,0.4
88,90.0,63.0,7.0,1.812,0.0,0.4
89,90.0,63.0,7.0,1.812,0.0,0.4
90,90.0,63.0,7.0,1.812,0.0,0.4
91,90.0,63.0,7.0,1.812,0.0,0.4
92,90.0,63.0,7.0,1.812,0.0,0.4
93,90.0,63.0,7.0,1.812,0.0,0.4
94,90.0,63.0,7.0,1.812,0.0,0.4
95,90.0,63.0,7.0,1.812,0.0,0.4
96,90.0,63.0,7.0,1.812,0.0,0.4
97,90.0,63.0,7.0,1.812,0.0,0.4
98,90.0,63.0,7.0,1.812,0.0,0.4
99,90.0,63.0,7.0,1.812,0.0,0.4
100,90.0,63.0,7.0,1.812,0.0,0.4
101,90.0,63.0,7.0,1.812,0.0,0.4
102,90.0,62.0,7.0,1.812,0.0,0.4
103,90.0,62.0,7.0,1.812,0.0,0.4
104,90.0,61.0,7.0,1.812,0.0,0.4
105,90.0,60.0,7.0,1.812,0.0,0.4
106,90.0,59.0,7.0,1.812,0.0,0.4
107,90.0,57.0,7.0,1.812,0.0,0.4
108,90.0,55.0,7.0,1.812,0.0,0.4
109,90.0,54.0,7.0,1.812,0.0,0.4
110,90.0,53.0,7.0,1.812,0.0,0.4
111,90.0,52.0,7.0,1.812,0.0,0.4
112,90.0,51.0,7.0,1.812,0.0,0.4
113,90.0,50.0,7.0,1.812,0.0,0.4
114,90.0,49.0,7.0,1.812,0.0,0.4
115,90.0,49.0,7.0,1.812,0.0,0.4
116,90.0,49.0,7.0,1.812,0.0,0.4
117,90.0,49.0,7.0,1.812,0.0,0.4
118,90.0,49.0,7.0,1.812,0.0,0.4
119,90.0,50.0,7.0,1.812,0.0,0.4
