,0,1,2,3,4,5,6
104,40.99,41.604,-0.614,0.325,1.0,1.0,33.261
105,40.99,41.67,-0.68,0.324,1.0,1.0,33.281
106,40.99,42.0,-1.01,0.318,1.0,1.0,33.301
107,40.99,41.802,-0.812,0.318,1.0,1.0,33.321
108,40.99,41.736,-0.746,0.319,1.0,1.0,33.341
109,40.99,41.868,-0.878,0.317,1.0,1.0,33.361
110,40.99,41.736,-0.746,0.317,1.0,1.0,33.381
111,40.99,41.868,-0.878,0.315,1.0,1.0,33.401
112,40.99,41.802,-0.812,0.314,1.0,1.0,33.421
113,40.99,41.736,-0.746,0.315,1.0,1.0,33.441
114,40.99,41.736,-0.746,0.314,1.0,1.0,33.461
115,40.99,41.868,-0.878,0.311,1.0,1.0,33.481
116,40.99,41.802,-0.812,0.311,1.0,1.0,33.501
117,40.99,41.538,-0.548,0.315,1.0,1.0,33.521
118,40.99,41.868,-0.878,0.31,1.0,1.0,33.541
119,40.99,41.604,-0.614,0.312,1.0,1.0,33.561
120,40.99,41.736,-0.746,0.31,1.0,1.0,33.581
121,40.99,42.066,-1.076,0.304,1.0,1.0,33.601
122,40.99,41.868,-0.878,0.303,1.0,1.0,33.621
123,40.99,41.868,-0.878,0.304,1.0,1.0,33.641
124,40.99,41.67,-0.68,0.306,1.0,1.0,33.661
125,40.99,41.604,-0.614,0.307,1.0,1.0,33.681
126,40.99,41.736,-0.746,0.305,1.0,1.0,33.701
127,40.99,41.868,-0.878,0.301,1.0,1.0,33.721
128,40.99,41.736,-0.746,0.302,1.0,1.0,33.741
129,40.99,41.802,-0.812,0.3,1.0,1.0,33.761
130,40.99,41.604,-0.614,0.302,1.0,1.0,33.781
131,40.99,41.736,-0.746,0.3,1.0,1.0,33.801
132,40.99,41.538,-0.548,0.302,1.0,1.0,33.821
133,40.99,41.473,-0.483,0.304,1.0,1.0,33.841
134,40.99,41.538,-0.548,0.302,1.0,1.0,33.861
135,40.99,41.736,-0.746,0.298,1.0,1.0,33.881
136,40.99,41.604,-0.614,0.299,1.0,1.0,33.901
137,40.99,41.407,-0.417,0.302,1.0,1.0,33.921
138,40.99,41.473,-0.483,0.301,1.0,1.0,33.941
139,40.99,41.604,-0.614,0.298,1.0,1.0,33.961
140,40.99,41.473,-0.483,0.299,1.0,1.0,33.981
141,40.99,41.604,-0.614,0.297,1.0,1.0,34.001
142,40.99,41.604,-0.614,0.296,1.0,1.0,34.021
143,40.99,41.473,-0.483,0.297,1.0,1.0,34.041
144,40.99,41.67,-0.68,0.294,1.0,1.0,34.061
145,40.99,41.538,-0.548,0.295,1.0,1.0,34.081
146,40.99,41.473,-0.483,0.296,1.0,1.0,34.101
147,40.99,41.407,-0.417,0.297,1.0,1.0,34.121
148,40.99,41.473,-0.483,0.295,1.0,1.0,34.141
149,40.99,41.275,-0.285,0.298,1.0,1.0,34.161
150,40.99,41.143,-0.153,0.301,1.0,1.0,34.181
151,40.99,41.275,-0.285,0.298,1.0,1.0,34.201
152,40.99,41.209,-0.219,0.299,1.0,1.0,34.221
153,40.99,41.209,-0.219,0.299,1.0,1.0,34.241
154,40.99,41.341,-0.351,0.296,1.0,1.0,34.261
155,40.99,41.275,-0.285,0.297,1.0,1.0,34.281
156,40.99,41.341,-0.351,0.295,1.0,1.0,34.301
157,40.99,41.341,-0.351,0.295,1.0,1.0,34.321
158,40.99,41.341,-0.351,0.294,1.0,1.0,34.341
159,40.99,41.407,-0.417,0.293,1.0,1.0,34.361
160,40.99,41.275,-0.285,0.295,1.0,1.0,34.381
161,40.99,41.868,-0.878,0.286,1.0,1.0,34.401
162,40.99,41.209,-0.219,0.294,1.0,1.0,34.421
163,40.99,41.275,-0.285,0.294,1.0,1.0,34.441
164,40.99,41.209,-0.219,0.294,1.0,1.0,34.461
165,40.99,41.143,-0.153,0.296,1.0,1.0,34.481
166,40.99,41.143,-0.153,0.295,1.0,1.0,34.501
167,40.99,41.209,-0.219,0.294,1.0,1.0,34.521
168,40.99,40.945,0.045,0.299,1.0,1.0,34.541
169,40.99,40.945,0.045,0.299,1.0,1.0,34.561
170,40.99,40.945,0.045,0.299,1.0,1.0,34.581
171,40.99,40.813,0.177,0.302,1.0,1.0,34.601
172,40.99,41.011,-0.021,0.298,1.0,1.0,34.621
173,40.99,40.615,0.375,0.308,1.0,1.0,34.641
174,40.99,40.813,0.177,0.303,1.0,1.0,34.661
175,40.99,41.011,-0.021,0.299,1.0,1.0,34.681
176,40.99,41.209,-0.219,0.295,1.0,1.0,34.701
177,40.99,41.077,-0.087,0.297,1.0,1.0,34.721
178,40.99,41.143,-0.153,0.296,1.0,1.0,34.741
179,40.99,41.143,-0.153,0.295,1.0,1.0,34.761
180,40.99,41.143,-0.153,0.295,1.0,1.0,34.781
181,40.99,41.209,-0.219,0.294,1.0,1.0,34.801
182,40.99,41.077,-0.087,0.296,1.0,1.0,34.821
183,40.99,41.077,-0.087,0.296,1.0,1.0,34.841
184,40.99,41.143,-0.153,0.295,1.0,1.0,34.861
185,40.99,40.945,0.045,0.299,1.0,1.0,34.881
